Gene,C,Z,Pval,FDR,Module
C21orf59-TCP10L,0.04326265809694808,3.6246991281153305,0.0001446490235336621,0.00017005402648554574,
DAP3,0.029931564472304852,3.6244364476846234,0.00014479610831394065,0.00017021353825816602,
JPT1,0.05461214674501752,3.6237346819598377,0.0001451897411265758,0.0001706628290256238,
MSRB1,0.05856716037700312,3.6233375077220784,0.00014541296718672829,0.0001709117607241176,
KNL1,0.04100125879162183,3.6230468071742647,0.0001455765549746799,0.00017109056264129176,
AASDH,0.0474215822766781,3.6221553871941885,0.00014607926497666983,0.00017166786240802633,
CARS2,0.032964073668172764,3.6217802376876636,0.00014629131369044753,0.00017189030110196135,
VPS29,0.04888261178241309,3.6217797703513748,0.00014629157802634936,0.00017189030110196135,
RPL15P3,0.08021695953983077,3.6214427804249363,0.00014648230362258573,0.0001721008536933756,
TMEM106A,0.04816495866871202,3.621079293959059,0.00014668828651652322,0.0001723292974053315,
POLE4,0.05235427329655613,3.6210348565794606,0.00014671348718632733,0.00017233796831908713,
TNKS2,0.03674289058664434,3.6210255631540202,0.00014671875804910293,0.00017233796831908713,
ATP6V1D,0.056449886396516866,3.619717186616157,0.00014746259029009475,0.00017319805533560817,
AC004130.1,0.053473016065839866,3.619126943352403,0.0001477993075687637,0.0001735798791564859,
ANKRD6,0.044393750065396725,3.618336426875388,0.00014825140334716937,0.00017409713616263058,
AGO1,0.04051423034108656,3.6174917934196147,0.00014873587969091963,0.0001746523344986121,
LRWD1,0.04323927834448778,3.6172942350715256,0.00014884941167891226,0.00017477190026989091,
AC026471.1,0.05600035745766682,3.6172475622694895,0.00014887624525566334,0.00017478965808803576,
CENPU,0.047796732889514804,3.6171481766084295,0.00014893340011336276,0.000174843009319085,
RRAGB,0.029353995183226057,3.6164071144459347,0.000149360219638195,0.00017533029242995727,
ASIP,0.061382355965058,3.6157961881489378,0.0001497129478006954,0.0001757305317151042,
FARSB,0.04446180895963142,3.6152905149123873,0.00015000549636775428,0.00017606007582021295,
AC012254.2,0.0464373565857847,3.614832886489785,0.00015027071084629443,0.00017635748885939438,
AC106882.1,0.06143989528928553,3.6133365348385245,0.00015114097684890674,0.00017736488690437352,
GABRR2,0.05401129865965425,3.6122560261950896,0.0001517723240970601,0.00017809177594503705,
AL009174.1,0.06640903373895986,3.611941961858213,0.0001519562963750937,0.00017829363590559846,
AP000442.2,0.02973680643252193,3.6096796105995224,0.00015328771724927142,0.00017984168477402142,
SMG1P7,0.05546739204623225,3.609059613804286,0.00015365449524499177,0.00018025783169773596,
RASGRF1,0.030722365665497735,3.6080590563596093,0.00015424813910553626,0.0001809400371259992,
SCNM1,0.05606061629671291,3.6065237930328533,0.0001551632080466044,0.0001819991518553877,
AC091271.1,0.0638481072153418,3.606284816956035,0.00015530610220694307,0.00018215244658152267,
AL590764.1,0.04943745217690042,3.6057791064170943,0.0001556088948023448,0.00018249324109951296,
